DISTRICT,Very low density,Low density,Medium density,High density
1,0.662343230785722,0.33765676921427806,0,0
10,0.7294000753760236,0.2705999246239764,0,0
100,0.4749670703479673,0.3465733979564433,0.17845953169558934,0
11,0.5148155810019835,0.26037699112890467,0.20070092604986797,0.024106501819243828
12,0.885744262295082,0.09597377049180328,0.018281967213114755,0
13,0.08752295320711707,0.266494649528272,0.5897232951307542,0.05625910213385677
14,0.7088704811015415,0.16833068188052006,0.12279883701793845,0
15,0.8545538453862849,0.11936538029785217,0.026080774315862996,0
16,0.915605448203311,0.084394551796689,0,0
17,0.5485292677353009,0.24532336521824297,0.2061473670464562,0
18,0.9049731779131206,0.09502682208687936,0,0
19,0.6661758844248493,0.1744771542222186,0.14053996892616302,0.018806992426769052
2,0.7815184017962209,0.2184815982037791,0,0
20,0.04735316586527659,0.5220307374286614,0.4046420707320361,0.025974025974025976
21,1,0,0,0
22,0.8761999734077915,0.12380002659220848,0,0
23,0.8671327691531693,0.1328672308468307,0,0
24,0.9314801552272614,0.06851984477273863,0,0
25,0.6976861877412673,0.20519489690236326,0.09711891535636946,0
26,0.3305304221327784,0.567110044163791,0.10235953370343069,0
27,0.560956945935318,0.4258643228364031,0.013178731228279006,0
28,0.09655859980799054,0.3467739950274475,0.5566674051645619,0
29,0.027646815550041358,0.42874276261373034,0.5436104218362283,0
3,0.4229037703995498,0.4619133370849747,0.11518289251547552,0
30,0,0.1624744851122655,0.6431371701964511,0.19438834469128335
31,0,0.14270388358983363,0.712124758616654,0.1451713577935124
32,0,0.27739505915793855,0.6448532140820336,0.07775172676002788
33,0.052449542867000175,0.48920993617388303,0.42029498016215283,0.03804554079696395
34,0,0.06758664706792511,0.5429270462633452,0.3894863066687297
35,0,0.14459453292566057,0.607664400127778,0.2477410669465614
36,0.1899620914347606,0.5380832590884475,0.27195464947679193,0
37,0.05571462174241011,0.26604157710744675,0.5787783176114657,0.09946548353867742
38,0.06607476096115739,0.253371553896766,0.4921314376959926,0.188422247446084
39,0.45154667835719553,0.27712969002277515,0.1553521593618682,0.1159714722581611
4,0.7730598651872488,0.161278959924428,0.06566117488832317,0
40,0,0.11299171062547099,0.6929992464204974,0.19400904295403165
41,0,0.17294624580556517,0.42464037686821765,0.4024133773262172
42,0,0.1354229474133373,0.48497722697884105,0.3795998256078217
43,0,0.21335093202505323,0.4805688029984186,0.3060802649765282
44,0.01138577478097549,0.2698171976528505,0.718797027566174,0
45,0.1486204141830025,0.03881685409369303,0.5760871791720437,0.2364755525512608
46,0,0.21870209993868792,0.7234250459840589,0.05787285407725322
47,0.9559577789340667,0.04404222106593325,0,0
48,0.06443989954115316,0.48039039070861633,0.45516970975023047,0
49,0.3484314667520774,0.4810850726881261,0.17048346055979643,0
5,0.6951894230624275,0.3048105769375726,0,0
50,0.8597054175663775,0.14029458243362244,0,0
51,0.8660260965386556,0.13397390346134438,0,0
52,0.8234907530061715,0.1765092469938285,0,0
53,0.691069724998963,0.308930275001037,0,0
54,0.8839503962036084,0.11604960379639163,0,0
55,0.7762449611140518,0.17174966407427011,0.052005374811678,0
56,0.33668505133770055,0.40831226065083065,0.2206027782755577,0.03439990973591117
57,0.4292526673249681,0.48050384142963803,0.0902434912453939,0
58,0.5923619863876985,0.29492059490799094,0.11271741870431057,0
59,0.4141377896247693,0.5060898093090014,0.07977240106622924,0
6,0.8525719409798647,0.1474280590201353,0,0
60,0.20153732324893128,0.5483311410720157,0.25013153567905294,0
61,0.6295730298744038,0.27678780857067714,0.09363916155491901,0
62,0.6618971827458331,0.23166603378765968,0.10643678346650723,0
63,0.08151901945996998,0.3733551356418407,0.49571119459265156,0.04941465030553774
64,0.10415523663769455,0.8538303831826975,0.04201438017960787,0
65,0.023044557767502714,0.3333283775144586,0.3172417894470793,0.3263852752709594
66,0.19809516667291613,0.4067019135825615,0.3952029197445224,0
67,0.0752346386795506,0.3546627213463406,0.33222756484349714,0.23787507513061168
68,0.28086482117599515,0.4657744285833145,0.2533607502406903,0
69,0.025446679954594615,0.33366702121003566,0.6129101456011298,0.02797615323423995
7,0.6133349945713116,0.21567912001851094,0.13935710090240822,0.03162878450776926
70,0.9137581575606388,0.0862418424393612,0,0
71,0.8294762728967716,0.17052372710322844,0,0
72,0.735260674478617,0.15415778687129347,0.11058153865008953,0
73,0.595553549745871,0.34658242265991857,0.057864027594210374,0
74,0.8985297162973701,0.10147028370262995,0,0
75,0,0.044391691394658754,0.6588724035608309,0.29673590504451036
76,0.1195666155444516,0.08601395141740464,0.5239598278335724,0.2704596052045713
77,0.03722472859114599,0.16809838699709537,0.5008549121397524,0.29382197227200624
78,0.8308657398793228,0.05240867246130264,0.11672558765937464,0
79,0,0,0.6134336815135988,0.3865663184864013
8,0.48520964191764643,0.27203790197025823,0.24275245611209534,0
80,0.849771194036892,0.15022880596310798,0,0
81,0.39670651825385916,0.468553891255554,0.13473959049058679,0
82,0.8021199203727057,0.19788007962729423,0,0
83,0.8371445565102947,0.16285544348970526,0,0
84,0.9308183307931196,0.06918166920688035,0,0
85,0.7447576968931903,0.25524230310680973,0,0
86,0.7122402432843385,0.28775975671566145,0,0
87,0.9035592687295749,0.09644073127042511,0,0
88,0.2780646170695455,0.079236094813424085,0.49953062661347103,0.14316866150355942
89,0.6932868196252069,0.30671318037479317,0,0
9,0.6021860432264444,0.292078683429863,0.1057352733436926,0
90,0.8514394901738916,0.1485605098261083,0,0
91,1,0,0,0
92,0.9609826007842127,0.03901739921578731,0,0
93,1,0,0,0
94,0.9628029203500902,0,0.037197079649909835,0
95,0.9562781835503334,0.04372181644966656,0,0
96,1,0,0,0
97,0.9680343245602631,0.031965675439736996,0,0
98,0.6060257984446997,0.3939742015553003,0,0
99,1,0,0,0
